request_id,timestamp,model,prompt,response,latency_ms,input_tokens,output_tokens,endpoint,language,topic,cost_usd,prompt_tokens_est,scenario,error,stages_json
b07ea9a97093,2026-09-21T14:29:54.616+00:00,llama3:8b,Сколько стоит миллион выходных токенов и во сколько раз это дороже входных?,"Стоимость миллиона выходных токенов составляет 8 долларов. Миллион входных токенов стоит 2 доллара, то есть это в 4 раза дешевле.",2429.575,277,47,rag,ru,faq,0.00093,24,eval,,"{""validate"": 0.001, ""preprocess"": 0.046, ""retrieval"": 0.171, ""llm_call"": 2429.32, ""postprocess"": 0.002}"
02274d93c42c,2026-09-21T14:29:52.159+00:00,llama3:8b,Повторяется ли запрос при ошибке 401?,"Согласно базе знаний [kb-06], запрос не повторяется при ошибке 401.",2256.468,258,23,rag,ru,support,0.0007,12,eval,,"{""validate"": 0.001, ""preprocess"": 0.03, ""retrieval"": 0.123, ""llm_call"": 2256.276, ""postprocess"": 0.002}"
58d9bfc888dc,2026-09-21T14:29:49.874+00:00,llama3:8b,Сколько сотрудников в команде поддержки платформы?,"Я не могу ответить на ваш вопрос, так как информация о количестве сотрудников в команде поддержки платформы не содержится в базе знаний.",2351.032,269,37,rag,ru,faq,0.0008339999999999999,12,eval,,"{""validate"": 0.001, ""preprocess"": 0.032, ""retrieval"": 0.123, ""llm_call"": 2350.843, ""postprocess"": 0.001}"
3c1cde8f390f,2026-09-21T14:29:47.507+00:00,llama3:8b,Какой SLA по аптайму зафиксирован в договоре?,"SLA по аптайму не фиксирован в договоре, т.к. LLM-платформа не имеет официального SLA для аптайма.",2367.649,294,39,rag,ru,faq,0.0009,14,eval,,"{""validate"": 0.001, ""preprocess"": 0.036, ""retrieval"": 0.138, ""llm_call"": 2367.426, ""postprocess"": 0.002}"
2054cdf7480f,2026-09-21T14:29:45.121+00:00,llama3:8b,Какая скидка действует для партнёров из Казахстана?,"К сожалению, информация о скидках для партнёров из Казахстана не содержится в нашей базе знаний. Проверьте личный кабинет или обратитесь к нашим менеджерам для получения более подробной информации.",2532.935,192,59,rag,ru,faq,0.000856,14,eval,,"{""validate"": 0.001, ""preprocess"": 0.03, ""retrieval"": 0.119, ""llm_call"": 2532.749, ""postprocess"": 0.002}"
b2712bd3fd1b,2026-09-21T14:29:42.559+00:00,llama3:8b,Что дешевле снижает счёт: кэш на FAQ или сокращение выходных токенов?,"Сокращение выходных токенов дешевле. Стоимость превышения выходных токенов составляет 8 долларов за миллион, в то время как кэш на FAQ не влияет на стоимость токенов.",2505.763,300,56,rag,ru,faq,0.0010479999999999999,23,eval,,"{""validate"": 0.001, ""preprocess"": 0.047, ""retrieval"": 0.184, ""llm_call"": 2505.491, ""postprocess"": 0.001}"
ff8c2ab37892,2026-09-21T14:29:40.026+00:00,llama3:8b,"Почему у rag эндпоинта бюджет по latency выше, чем у chat?","According to [kb-05], the higher latency budget for RAG endpoint is due to the additional complexity of retrieval and reranking, which requires more processing time.",2333.641,261,34,rag,ru,research,0.000794,23,eval,,"{""validate"": 0.001, ""preprocess"": 0.032, ""retrieval"": 0.136, ""llm_call"": 2333.438, ""postprocess"": 0.001}"
1027d89386a3,2026-09-21T14:29:37.651+00:00,llama3:8b,Что происходит с системным промптом при переполнении контекста?,"Системный промпт всегда сохраняется, даже при превышении контекста. Старые сообщения диалога обрезаются, чтобы поместиться в контекстной оконечке размером 8192 токена.",2460.075,259,51,rag,ru,faq,0.000926,16,eval,,"{""validate"": 0.001, ""preprocess"": 0.035, ""retrieval"": 0.13, ""llm_call"": 2459.871, ""postprocess"": 0.002}"
1bf293bdf13c,2026-09-21T14:29:35.162+00:00,llama3:8b,При каких условиях открывается инцидент SEV2?,Инцидент уровня SEV2 открывается при росте hallucination rate выше 6 процентов или при p95 выше 6 секунд дольше 15 минут.,2380.477,259,39,rag,ru,faq,0.00083,12,eval,,"{""validate"": 0.001, ""preprocess"": 0.033, ""retrieval"": 0.12, ""llm_call"": 2380.288, ""postprocess"": 0.002}"
e61827db0bec,2026-09-21T14:29:32.766+00:00,llama3:8b,Какие метрики качества отслеживаются ежедневно?,"В ответе на ваш вопрос: ежедневно отслеживаются hallucination rate, retrieval relevance и доля пустых ответов.",2339.865,135,31,rag,ru,faq,0.000518,10,eval,,"{""validate"": 0.001, ""preprocess"": 0.028, ""retrieval"": 0.098, ""llm_call"": 2339.706, ""postprocess"": 0.002}"
